id,class,historical_wording,intended_purpose,dependent_fields,v2_preservation,v39a_evidence,likely_effect_if_removed
C01,DATA_CONTRACT,"The evidence pack includes src_evt/current PEAK, market_context.deltascout, and market_context.aggregated.",Identify source blocks,src_evt;market_context.deltascout;market_context.aggregated,PARTIAL,PARTIAL,Old schema labels obsolete; source identity still useful
C02,DATA_CONTRACT,"The evidence pack may include market_monitor_snapshot: a descriptive pre-cutoff Market Monitor snapshot with local 15m/60m/240m context, broad 1d/3d/7d/30d context, market state, market_structure_state, zones, liquidity zones, data-quality flags, and context conflicts.",Describe monitor scope,monitor.local_context;monitor.broad_context;monitor.market_structure_state;zones,PARTIAL,PARTIAL,Broad context and explicit repaired structure can be lost or buried
C03,MARKET_STRUCTURE_INTERPRETATION,"market_structure_state is repaired 37E state evidence with range_pct, close_position, dominant_side, and range_quality; use it to avoid misreading bearish expansion as range/support.",Do not infer bullishness merely from support proximity,market_structure_state.metrics;dominant_side;range_quality,NO,PARTIAL,May misread a bearish expansion as supportive context
C04,ANTI_HINDSIGHT,All market_context and market_monitor_snapshot records are intended to be pre-cutoff only; do not use or infer data after analysis_cutoff_ts.,Bound input to decision time,analysis_cutoff_ts;all market timestamps,YES,YES,V2 preserves pre-entry rule
C05,ANTI_HINDSIGHT,Do not infer future outcome. Do not mention whether the trade won or lost.,Prevent outcome leakage,none,YES,N/A,V2 preserves and clarifies
C06,OUTPUT_FORMAT,"Return only JSON, no markdown.",Parseable response,output schema,YES,N/A,V2 JSON schema improves shape
C07,DECISION_CALIBRATION,SUPPORT means the bot side is favored. REJECT means reject the bot trade.,Initial verdict labels,bot direction;evidence,PARTIAL,N/A,Old favored wording could rubber-stamp signal
C08,UNCERTAINTY_HANDLING,UNCLEAR counts as reject-side in the game.,Game scoring semantics,game outcome policy,NO,N/A,Removal is beneficial for neutral entry assessment
C09,UNCERTAINTY_HANDLING,"If market_context is sufficient and the signal is weak or bad, use REJECT. Use UNCLEAR only when the edge still cannot be assessed after reading market_context.",Separate adverse evidence from unavailable evidence,market_context;signal quality,PARTIAL,PARTIAL,V2 generic boundary may allow excess UNCLEAR or inconsistent REJECT
C10,DECISION_CALIBRATION,"Calibrate verdict strictly: SUPPORT requires clear, fresh directional edge after accounting for risk_flags.",Require entry edge and risk accounting,risk_flags;market state;room,PARTIAL,PARTIAL,Freshness/risk explanation weakened
