target,feature_family,classification,evidence,limitation
A,SIGNAL strength,MISSING_TOO_OFTEN,Strength absent in all 19 snapshots,No strength comparison possible
A,SIGNAL delta volume imbalance and price relative to VWAP/POC,WEAK_OR_OVERLAPPING,Directional signal delta medians 52.54 vs 55.18 and price minus POC rank-biserial -0.012; measurements available in 18/19,Signal-level values alone do not separate classes
B,SIGNAL delta volume imbalance and price relative to VWAP/POC,WEAK_OR_OVERLAPPING,Directional signal delta medians 57.60 vs 54.59 among 4 vs 5 observed; VWAP and imbalance overlap,One strong case lacks signal measurements
A,EXECUTION entry timing and entry-minus-signal,WEAK_OR_OVERLAPPING,Signal-to-fill median 31.34s vs 17.87s with rank-biserial -0.356; both outcomes occur at short delays,Timing may reflect execution context
B,EXECUTION entry timing and entry-minus-signal,WEAK_OR_OVERLAPPING,Signal-to-fill median 17.87s vs 23.19s and rank-biserial -0.083,No useful TP2 separation
A,EXECUTION target R and risk,WEAK_OR_OVERLAPPING,TP1 R median 1.000 vs 1.085 and rank-biserial 0.400; both classes occur near 1R/2R,Target settings and chronology may confound
B,EXECUTION target R and risk,WEAK_OR_OVERLAPPING,TP2 R median 2.193 vs 2.076 and rank-biserial -0.250; both groups overlap,Four mixed cases only
A,TEMPORAL T-240 to T-60 directional Delta percent,POTENTIALLY_DISCRIMINATIVE,Directional Delta percent positive in 4/9 negatives vs 8/10 TP1 reachers; medians -0.0013 vs 0.0340,Overlap and opposite-sign counterexamples remain
B,TEMPORAL T-240 to T-60 directional Delta percent,WEAK_OR_OVERLAPPING,Positive in 4/4 mixed and 4/6 strong; medians 0.0340 vs 0.0275,No stable continuation separation
A,TEMPORAL final directional Delta and price,WEAK_OR_OVERLAPPING,All 19 have positive final 5m directional Delta percent and price change; negative final Delta median 0.288 vs 0.260 for TP1 reachers,Final impulse is common to both outcomes
B,TEMPORAL final directional Delta and price,WEAK_OR_OVERLAPPING,Final Delta medians 0.295 mixed vs 0.254 strong and price medians 0.242 vs 0.237,No stronger final impulse in strong cases
A,TEMPORAL OI change,POTENTIALLY_DISCRIMINATIVE,Final 5m OI change median -149.76 negative vs -8.97 TP1 reached; rank-biserial 0.578; negative in 8/9 vs 6/10,Large outliers and overlapping signs; units and economic interpretation not established
B,TEMPORAL OI change,WEAK_OR_OVERLAPPING,Final 5m OI change median -45.05 mixed vs +39.95 strong; signs negative in 3/4 vs 3/6,Very small subgroup and counterexamples
A,TEMPORAL predeclared trajectory diagnostics,WEAK_OR_OVERLAPPING,Recent-minus-prior directional Delta medians 0.166 negative vs 0.017 TP1 reached; increases in 7/9 vs 6/10,Derived from frozen fields and exploratory only
B,TEMPORAL predeclared trajectory diagnostics,WEAK_OR_OVERLAPPING,Recent-minus-prior Delta increases in 3/4 mixed vs 3/6 strong,Derived from frozen fields and exploratory only
A,BROAD 1d/3d/7d context,WEAK_OR_OVERLAPPING,Three-day directional price medians +1.165 negative vs -0.187 TP1 reached with substantial range overlap,Long horizons combine regimes; 7d context is incomplete in 2/19 and its descriptive numeric values need the completeness flag
B,BROAD 1d/3d/7d context,WEAK_OR_OVERLAPPING,Three-day directional price median -1.449 mixed vs +0.139 strong but strong includes -2.759 and -0.709,Four mixed cases only; 7d context is incomplete in 2/19
A,LOCATION 240m/1440m range,WEAK_OR_OVERLAPPING,240m directional position medians 0.939 vs 0.915 and rank-biserial -0.156,Most entries near directional extreme in both groups
B,LOCATION 240m/1440m range,WEAK_OR_OVERLAPPING,240m directional position medians 0.938 mixed vs 0.901 strong; strong range 0.176 to 0.964,One low-position strong case strongly affects summaries
A,STRUCTURE opposing-zone presence and state,REDUNDANT,All 18 qualified zones with data have current price INSIDE; already interacted YES; first sweep NO; no accepted-beyond fact; distance from current 0,Current selected-zone state contains almost no cohort variation
B,STRUCTURE opposing-zone presence and state,REDUNDANT,All 9 qualified zones with data have the same INSIDE/already-interacted state and distance 0,One mixed zone missing
A,STRUCTURE recently cleared zone,MISSING_TOO_OFTEN,Recent cleared structure null in all 19 cases,No progression comparison possible
B,STRUCTURE recently cleared zone,MISSING_TOO_OFTEN,Recent cleared structure null in all 10 TP1-reaching cases,No progression comparison possible
A,STRUCTURE sweeps and failed acceptance,NOT_INTERPRETABLE_WITH_CURRENT_PROVENANCE,Selected-zone first-sweep timestamps absent and resweep/failed-acceptance counts zero across 18 present zones while matched-registry accepted-beyond is YES in 8/9 negatives vs 5/9 observed reachers,Matched registry is a separate overlapping zone; selected-zone interaction count is reconstructed from bar overlap
B,STRUCTURE sweeps and failed acceptance,NOT_INTERPRETABLE_WITH_CURRENT_PROVENANCE,Selected-zone resweep and failed-acceptance counts zero in 9 present zones while matched-registry accepted-beyond is YES in 2/3 observed mixed vs 3/6 strong,Matched registry is a separate overlapping zone and one mixed zone is missing
A,STRUCTURE directional liquidity,WEAK_OR_OVERLAPPING,Active directional liquidity present in 5/9 negatives vs 8/10 TP1 reachers,Presence has exceptions in both groups
B,STRUCTURE directional liquidity,WEAK_OR_OVERLAPPING,Active directional liquidity present in 3/4 mixed vs 5/6 strong,No TP2 separation
A,STRUCTURE TP1/TP2 zone relation,POTENTIALLY_DISCRIMINATIVE,TP1 BEYOND in 5/9 negatives vs 2/10 TP1 reachers; TP2 BEYOND in 7/9 vs 4/10,Overlap and one missing zone in reaching group
B,STRUCTURE TP1/TP2 zone relation,WEAK_OR_OVERLAPPING,TP2 BEYOND in 2/3 observed mixed vs 2/6 strong; strong outcomes include beyond cases,One mixed zone missing; geometry is not a TP2 veto
A,STRUCTURE target clear-air distance,WEAK_OR_OVERLAPPING,Target distance from actual entry in R has rank-biserial 0.037 with 9 vs 9 observed,One reaching case has no zone
B,STRUCTURE target clear-air distance,WEAK_OR_OVERLAPPING,Only 3/4 mixed have zone-derived distance; strong 6/6,Small and partially missing
A,QUALITY and cutoff,REDUNDANT,All 19 have OI available and historical prediction cutoff proxy; degraded feed 2/9 vs 1/10,Quality flags do not explain primary class separation
B,QUALITY and cutoff,REDUNDANT,All 10 have OI available and cutoff proxy; degraded feed 1/4 mixed vs 0/6 strong,Very small quality subgroup
